time,pattern,strategy,traffic,active_replicas,p95_latency,p99_latency,cpu_usage
48,stable,Round-Robin,548,10,29.360006824574253,29.360006824574253,"[35.33330386036082, 35.378701794717806, 34.841471049189195, 36.016197021655174, 34.250456408869965, 34.72998866416434, 33.696915511045376, 34.00772741272268, 33.64503072168522, 34.87185646039528]"
49,stable,Round-Robin,456,10,27.108410199559078,27.108410199559078,"[34.02017453265691, 33.96005015665368, 33.189250306989486, 33.49755554239874, 32.549003934364556, 33.63323944425943, 32.09705951272567, 32.31895340522, 33.41755585289006, 34.39930458898352]"
50,stable,Round-Robin,521,10,28.782012276553655,28.782012276553655,"[33.531171536842976, 33.150232087616054, 33.76085389125627, 33.90451272891786, 33.22731484273852, 34.45253369474007, 32.28633967672607, 32.96287533034076, 33.28620208523803, 35.25257901256849]"
51,stable,Round-Robin,528,10,28.91937085617867,28.91937085617867,"[33.93463445435835, 34.34235725387635, 34.7173852415576, 35.158350853909944, 33.919001297587656, 35.2813699375786, 34.20718313206281, 33.91883359258434, 34.34887549415664, 36.277683278334166]"
52,stable,Round-Robin,496,10,28.925361680786008,28.925361680786008,"[33.44600965252302, 34.01021618110225, 33.24403084515982, 34.61503007728141, 32.72700681182989, 34.11158778353567, 34.34596867094139, 34.627404538245294, 33.20031259091145, 36.14732828283495]"
53,stable,Round-Robin,467,10,29.172813013953213,29.172813013953213,"[32.241957367209494, 32.375945148862336, 33.49552452193357, 34.23966972808186, 32.90799469459067, 33.44098094640084, 32.915920271726286, 32.762314257008285, 32.92382323553845, 34.85468172781602]"
54,stable,Round-Robin,538,10,28.572936442147743,28.572936442147743,"[33.01272149084343, 33.64909921179, 34.97283055475999, 33.92811612904083, 33.29828587269903, 33.7707206686007, 33.23013937185101, 33.647199132392686, 32.895507793550024, 34.72085316014636]"
55,stable,Round-Robin,510,10,29.187843884675726,29.187843884675726,"[32.53387050959524, 33.933010439428934, 33.76752372596906, 34.89320608423208, 34.320590321879486, 33.22454742245347, 33.0112042602163, 33.57493075043906, 33.20124148858482, 35.105456414243854]"
56,stable,Round-Robin,498,10,29.14185631810929,29.14185631810929,"[32.5903553109355, 34.22671413324897, 33.69617520109745, 33.71589572617272, 34.587784134539355, 32.6070426955484, 33.99367699142137, 33.8234409456048, 32.69291749939725, 34.46643849395967]"
57,stable,Round-Robin,490,10,29.12095067733266,29.12095067733266,"[32.33106695636547, 34.60591892157136, 33.33620364666217, 32.67372791264498, 33.51505231726121, 31.77794155702356, 33.79997998206939, 32.87409383894563, 32.95338790652866, 34.095165043967704]"
58,stable,Round-Robin,508,10,29.19822026467002,29.19822026467002,"[32.193338397786015, 33.39249885784593, 34.31776177243373, 33.08573886333232, 33.786108679930905, 33.090498909973014, 33.36414807511977, 33.62824202917145, 33.17868058202183, 33.288405648907954]"
59,stable,Round-Robin,508,10,28.750534386176444,28.750534386176444,"[33.41749788426935, 33.32184820112056, 33.63646284323676, 32.53720882808438, 34.19830195320414, 32.81820657769963, 32.522221614438344, 34.646165565395954, 33.0251491597651, 32.70355798087333]"
0,stable,Least-CPU,518,8,23.064541673702976,23.064541673702976,"[11.317094124962862, 10.187344077297288, 8.012555588702089, 6.826656127033079, 6.717667968887085, 6.03247278071125, 5.522353121293685, 5.44776665926451, 4.240082641530866, 4.206785804419657]"
1,stable,Least-CPU,540,10,24.493186885915158,24.493186885915158,"[12.131398422389246, 11.486990236934759, 11.147457269424516, 10.624937646989473, 10.862812372633673, 11.975239084575925, 11.612320885714789, 12.83767218834171, 12.115443230838888, 15.076810331590261]"
2,stable,Least-CPU,547,10,25.33693838478698,25.33693838478698,"[13.65249184818842, 15.800130516118303, 16.26517607960163, 18.53288022609036, 17.15573947774675, 14.171657943860108, 14.971889010672976, 14.089322187659295, 14.178569490280879, 14.472680206324517]"
3,stable,Least-CPU,519,10,25.490773963415595,25.490773963415595,"[20.4052606348367, 16.312285250333236, 15.84932506972603, 17.18024619178651, 16.084016117199486, 18.81707746879842, 16.561517343676268, 19.943060468018796, 17.732582616853225, 17.037415252736828]"
4,stable,Least-CPU,550,10,26.041414889630147,26.041414889630147,"[18.636567845768752, 20.05531613848886, 22.206381127687337, 17.966082111263205, 21.832268582260973, 18.088969498480502, 20.181193855194003, 18.654363526847852, 17.8266385485622, 18.734929406604547]"
5,stable,Least-CPU,492,10,26.35602920298808,26.35602920298808,"[20.765095496486257, 18.788219204545598, 19.514657660373597, 21.491626505898438, 19.640155656203078, 20.45614414836421, 18.47858544570356, 19.305894098431942, 21.711085680282608, 18.71657535942988]"
6,stable,Least-CPU,541,10,26.571872353584244,26.571872353584244,"[19.28832810871937, 21.803882433471248, 21.283306232038896, 19.654672709024627, 20.221927516081514, 20.424775623310573, 22.86172235666433, 21.23373397382197, 19.58913769320741, 23.41818143752628]"
7,stable,Least-CPU,530,10,26.11849988300159,26.11849988300159,"[23.88041957816285, 20.512179433678934, 20.47358911300951, 22.614268457045306, 21.746350312294993, 20.821529274531457, 20.86536851881684, 21.380562385120495, 22.86982807562393, 20.088019295729477]"
