timestamp,pod_name,cpu_usage,memory_usage
2025-03-29 03:19:40,frontend-6659c9d65f-92czd,283m,67Mi
2025-03-29 03:19:40,loadgenerator-5d95b8b6f-hqhbt,78m,93Mi
2025-03-29 03:19:40,paymentservice-7fb78c9cdb-dpzlk,54m,74Mi
2025-03-29 03:19:40,productcatalogservice-589d6845fd-5v6pn,144m,63Mi
2025-03-29 03:19:40,recommendationservice-6cf78cdb66-9nvrf,78m,90Mi
2025-03-29 03:19:40,redis-cart-bf5c68f69-fkddf,64m,53Mi
2025-03-29 03:19:40,shippingservice-584657c6cb-kbbzp,58m,59Mi
2025-03-29 03:19:41,adservice-78bb57dfbd-qlv75,70m,136Mi
2025-03-29 03:19:41,cartservice-5b68c68477-hm8dm,96m,101Mi
2025-03-29 03:19:41,checkoutservice-854f5747fd-khqzm,55m,58Mi
2025-03-29 03:19:41,currencyservice-7d8f79889b-cljl5,136m,89Mi
2025-03-29 03:19:41,emailservice-6787c86dcd-7qmsx,51m,95Mi
2025-03-29 03:19:41,frontend-6659c9d65f-92czd,283m,67Mi
2025-03-29 03:19:41,loadgenerator-5d95b8b6f-hqhbt,78m,93Mi
2025-03-29 03:19:41,paymentservice-7fb78c9cdb-dpzlk,54m,74Mi
2025-03-29 03:19:41,productcatalogservice-589d6845fd-5v6pn,144m,63Mi
2025-03-29 03:19:41,recommendationservice-6cf78cdb66-9nvrf,78m,90Mi
2025-03-29 03:19:41,redis-cart-bf5c68f69-fkddf,64m,53Mi
2025-03-29 03:19:41,shippingservice-584657c6cb-kbbzp,58m,59Mi
2025-03-29 03:19:42,adservice-78bb57dfbd-qlv75,70m,136Mi
2025-03-29 03:19:42,cartservice-5b68c68477-hm8dm,96m,101Mi
2025-03-29 03:19:42,checkoutservice-854f5747fd-khqzm,55m,58Mi
2025-03-29 03:19:42,currencyservice-7d8f79889b-cljl5,136m,89Mi
2025-03-29 03:19:42,emailservice-6787c86dcd-7qmsx,51m,95Mi
2025-03-29 03:19:42,frontend-6659c9d65f-92czd,283m,67Mi
2025-03-29 03:19:42,loadgenerator-5d95b8b6f-hqhbt,78m,93Mi
2025-03-29 03:19:42,paymentservice-7fb78c9cdb-dpzlk,54m,74Mi
2025-03-29 03:19:42,productcatalogservice-589d6845fd-5v6pn,144m,63Mi
2025-03-29 03:19:42,recommendationservice-6cf78cdb66-9nvrf,78m,90Mi
2025-03-29 03:19:42,redis-cart-bf5c68f69-fkddf,64m,53Mi
2025-03-29 03:19:42,shippingservice-584657c6cb-kbbzp,58m,59Mi
2025-03-29 03:19:44,adservice-78bb57dfbd-qlv75,70m,136Mi
2025-03-29 03:19:44,cartservice-5b68c68477-hm8dm,96m,101Mi
2025-03-29 03:19:44,checkoutservice-854f5747fd-khqzm,55m,58Mi
2025-03-29 03:19:44,currencyservice-7d8f79889b-cljl5,136m,89Mi
2025-03-29 03:19:44,emailservice-6787c86dcd-7qmsx,51m,95Mi
2025-03-29 03:19:44,frontend-6659c9d65f-92czd,283m,67Mi
2025-03-29 03:19:44,loadgenerator-5d95b8b6f-hqhbt,78m,93Mi
2025-03-29 03:19:44,paymentservice-7fb78c9cdb-dpzlk,54m,74Mi
2025-03-29 03:19:44,productcatalogservice-589d6845fd-5v6pn,144m,63Mi
2025-03-29 03:19:44,recommendationservice-6cf78cdb66-9nvrf,78m,90Mi
2025-03-29 03:19:44,redis-cart-bf5c68f69-fkddf,64m,53Mi
2025-03-29 03:19:44,shippingservice-584657c6cb-kbbzp,58m,59Mi
